        Frequency / GHz                SZmax(1),Zmax(1) (wm=1)/abs,dB
----------------------------------------------------------------------
                       4                   -0.0023960554
                   4.046                     -0.00156175
                   4.092                  -0.00075123094
                   4.138                  -9.6432747e-16
                   4.184                               0
                    4.23                               0
                   4.276                               0
                   4.322                               0
                   4.368                  -9.6432747e-16
                   4.414                  -9.6432747e-16
                    4.46                  -9.6432747e-16
                   4.506                               0
                   4.552                               0
                   4.598                               0
                   4.644                  -9.6432747e-16
                    4.69                               0
                   4.736                  -9.6432747e-16
                   4.782                               0
                   4.828                               0
                   4.874                               0
                    4.92                   1.9286549e-15
                   4.966                  -9.6432747e-16
                   5.012                               0
                   5.058                               0
                   5.104                  -9.6432747e-16
                    5.15                               0
                   5.196                  -9.6432747e-16
                   5.242                  -9.6432747e-16
                   5.288                  -9.6432747e-16
                   5.334                  -9.6432747e-16
                    5.38                               0
                   5.426                  -9.6432747e-16
                   5.472                               0
                   5.518                               0
                   5.564                  -9.6432747e-16
                    5.61                               0
                   5.656                               0
                   5.702                               0
                   5.748                               0
                   5.794                               0
                    5.84                               0
                   5.886                               0
                   5.932                               0
                   5.978                  -9.6432747e-16
                   6.024                               0
                    6.07                               0
                   6.116                  -9.6432747e-16
                   6.162                  -9.6432747e-16
                   6.208                               0
                   6.254                               0
                     6.3                  -9.6432747e-16
                   6.346                               0
                   6.392                               0
                   6.438                  -9.6432747e-16
                   6.484                               0
                    6.53                               0
                   6.576                  -9.6432747e-16
                   6.622                               0
                   6.668                  -9.6432747e-16
                   6.714                  -9.6432747e-16
                    6.76                  -9.6432747e-16
                   6.806                  -9.6432747e-16
                   6.852                               0
                   6.898                               0
                   6.944                               0
                    6.99                  -9.6432747e-16
                   7.036                               0
                   7.082                               0
                   7.128                               0
                   7.174                               0
                    7.22                  -9.6432747e-16
                   7.266                               0
                   7.312                   1.9286549e-15
                   7.358                               0
                   7.404                               0
                    7.45                  -9.6432747e-16
                   7.496                               0
                   7.542                               0
                   7.588                  -9.6432747e-16
                   7.634                  -9.6432747e-16
                    7.68                               0
                   7.726                  -9.6432747e-16
                   7.772                  -9.6432747e-16
                   7.818                  -9.6432747e-16
                   7.864                  -9.6432747e-16
                    7.91                               0
                   7.956                               0
                   8.002                               0
                   8.048                               0
                   8.094                               0
                    8.14                               0
                   8.186                               0
                   8.232                  -9.6432747e-16
                   8.278                               0
                   8.324                  -9.6432747e-16
                    8.37                               0
                   8.416                               0
                   8.462                               0
                   8.508                  -0.00014850345
                   8.554                  -0.00067511613
                     8.6                   -0.0012088837
                   8.646                   -0.0017497455
                   8.692                   -0.0022976433
                   8.738                   -0.0028525212
                   8.784                   -0.0034143258
                    8.83                   -0.0039830057
                   8.876                   -0.0045585121
                   8.922                   -0.0051407986
                   8.968                    -0.005729821
                   9.014                   -0.0063255374
                    9.06                   -0.0069279085
                   9.106                   -0.0075368971
                   9.152                   -0.0081524684
                   9.198                   -0.0087745901
                   9.244                   -0.0094032321
                    9.29                    -0.010038367
                   9.336                    -0.010679969
                   9.382                    -0.011328015
                   9.428                    -0.011982484
                   9.474                    -0.012643359
                    9.52                    -0.013310623
                   9.566                    -0.013984263
                   9.612                    -0.014664267
                   9.658                    -0.015350627
                   9.704                    -0.016043335
                    9.75                    -0.016742388
                   9.796                    -0.017447784
                   9.842                    -0.018159523
                   9.888                    -0.018877608
                   9.934                    -0.019602044
                    9.98                    -0.020332839
                  10.026                    -0.021070001
                  10.072                    -0.021813545
                  10.118                    -0.022563483
                  10.164                    -0.023319832
                   10.21                    -0.024082613
                  10.256                    -0.024851846
                  10.302                    -0.025627555
                  10.348                    -0.026409766
                  10.394                    -0.027198508
                   10.44                    -0.027993811
                  10.486                    -0.028795709
                  10.532                    -0.029604237
                  10.578                    -0.030419432
                  10.624                    -0.031241335
                   10.67                    -0.032069988
                  10.716                    -0.032905435
                  10.762                    -0.033747725
                  10.808                    -0.034596905
                  10.854                    -0.035453028
                    10.9                    -0.036316147
                  10.946                    -0.037186319
                  10.992                    -0.038063602
                  11.038                    -0.038948056
                  11.084                    -0.039839746
                   11.13                    -0.040738736
                  11.176                    -0.041645093
                  11.222                    -0.042558889
                  11.268                    -0.043480194
                  11.314                    -0.044409084
                   11.36                    -0.045345635
                  11.406                    -0.046289926
                  11.452                    -0.047242038
                  11.498                    -0.048202055
                  11.544                    -0.049170063
                   11.59                    -0.050146149
                  11.636                    -0.051130403
                  11.682                    -0.052122919
                  11.728                     -0.05312379
                  11.774                    -0.054133114
                   11.82                     -0.05515099
                  11.866                    -0.056177518
                  11.912                    -0.057212803
                  11.958                     -0.05825695
                  12.004                    -0.059310067
                   12.05                    -0.060372264
                  12.096                    -0.061443653
                  12.142                    -0.062524349
                  12.188                    -0.063614467
                  12.234                    -0.064714127
                   12.28                     -0.06582345
                  12.326                    -0.066942557
                  12.372                    -0.068071575
                  12.418                     -0.06921063
                  12.464                    -0.070359851
                   12.51                    -0.071519369
                  12.556                    -0.072689318
                  12.602                    -0.073869834
                  12.648                    -0.075061052
                  12.694                    -0.076263114
                   12.74                    -0.077476159
                  12.786                    -0.078700331
                  12.832                    -0.079935776
                  12.878                    -0.081182641
                  12.924                    -0.082441074
                   12.97                    -0.083711228
                  13.016                    -0.084993254
                  13.062                    -0.086287307
                  13.108                    -0.087593545
                  13.154                    -0.088912125
                    13.2                    -0.090243208
                  13.246                    -0.091586956
                  13.292                    -0.092943533
                  13.338                    -0.094313103
                  13.384                    -0.095695835
                   13.43                    -0.097091897
                  13.476                    -0.098501459
                  13.522                    -0.099924694
                  13.568                     -0.10136177
                  13.614                     -0.10281288
                   13.66                     -0.10427818
                  13.706                     -0.10575786
                  13.752                     -0.10725209
                  13.798                     -0.10876106
                  13.844                     -0.11028495
                   13.89                     -0.11182394
                  13.936                     -0.11337822
                  13.982                     -0.11494797
                  14.028                     -0.11653339
                  14.074                     -0.11813465
                   14.12                     -0.11975196
                  14.166                     -0.12138549
                  14.212                     -0.12303545
                  14.258                     -0.12470202
                  14.304                      -0.1263854
                   14.35                     -0.12808578
                  14.396                     -0.12980335
                  14.442                     -0.13153832
                  14.488                     -0.13329088
                  14.534                     -0.13506122
                   14.58                     -0.13684955
                  14.626                     -0.13865606
                  14.672                     -0.14048094
                  14.718                     -0.14232441
                  14.764                     -0.14418665
                   14.81                     -0.14606786
                  14.856                     -0.14796825
                  14.902                     -0.14988802
                  14.948                     -0.15182735
                  14.994                     -0.15378645
                   15.04                     -0.15576552
                  15.086                     -0.15776476
                  15.132                     -0.15978436
                  15.178                     -0.16182451
                  15.224                     -0.16388543
                   15.27                     -0.16596729
                  15.316                      -0.1680703
                  15.362                     -0.17019465
                  15.408                     -0.17234052
                  15.454                     -0.17450812
                    15.5                     -0.17669763
                  15.546                     -0.17890924
                  15.592                     -0.18114313
                  15.638                     -0.18339949
                  15.684                      -0.1856785
                   15.73                     -0.18798034
                  15.776                      -0.1903052
                  15.822                     -0.19265324
                  15.868                     -0.19502464
                  15.914                     -0.19741957
                   15.96                     -0.19983821
                  16.006                     -0.20228071
                  16.052                     -0.20474723
                  16.098                     -0.20723795
                  16.144                       -0.209753
                   16.19                     -0.21229255
                  16.236                     -0.21485674
                  16.282                     -0.21744572
                  16.328                     -0.22005962
                  16.374                     -0.22269859
                   16.42                     -0.22536276
                  16.466                     -0.22805224
                  16.512                     -0.23076717
                  16.558                     -0.23350765
                  16.604                     -0.23627381
                   16.65                     -0.23906574
                  16.696                     -0.24188356
                  16.742                     -0.24472734
