        Frequency / GHz                SZmax(1),Zmax(1) (h=1)/abs,dB
----------------------------------------------------------------------
                       4                   -0.0011869308
                   4.046                   -0.0012056659
                   4.092                   -0.0012247204
                   4.138                   -0.0012440983
                   4.184                   -0.0012638032
                    4.23                   -0.0012838391
                   4.276                   -0.0013042095
                   4.322                   -0.0013249185
                   4.368                   -0.0013459697
                   4.414                    -0.001367367
                    4.46                   -0.0013891141
                   4.506                    -0.001411215
                   4.552                   -0.0014336736
                   4.598                   -0.0014564937
                   4.644                   -0.0014796794
                    4.69                   -0.0015032348
                 4.71875                   -0.0015181466
                   4.736                   -0.0015271643
                   4.782                   -0.0015514722
                   4.828                   -0.0015761634
                   4.874                   -0.0016012427
                    4.92                   -0.0016267154
                   4.966                   -0.0016525868
                   5.012                   -0.0016788629
                   5.058                   -0.0017055494
                   5.104                   -0.0017326524
                    5.15                   -0.0017601782
                   5.196                   -0.0017881328
                   5.242                   -0.0018165221
                   5.288                   -0.0018453521
                   5.334                   -0.0018746282
                    5.38                   -0.0019043559
                   5.426                   -0.0019345403
                  5.4375                   -0.0019421583
                   5.472                   -0.0019651862
                   5.518                   -0.0019962983
                   5.564                   -0.0020278813
                    5.61                   -0.0020599397
                   5.656                    -0.002092478
                   5.702                   -0.0021255006
                   5.748                    -0.002159012
                   5.794                    -0.002193017
                    5.84                   -0.0022275202
                   5.886                   -0.0022625263
                   5.932                   -0.0022980403
                   5.978                   -0.0023340671
                   6.024                   -0.0023706119
                    6.07                   -0.0024076796
                   6.116                   -0.0024452754
                 6.15625                   -0.0024786089
                   6.162                   -0.0024834044
                   6.208                   -0.0025220709
                   6.254                   -0.0025612785
                     6.3                   -0.0026010285
                   6.346                   -0.0026413187
                   6.392                   -0.0026821428
                   6.438                    -0.002723497
                   6.484                   -0.0027653958
                    6.53                   -0.0028078751
                   6.576                   -0.0028509658
                   6.622                    -0.002894675
                   6.668                   -0.0029389976
                   6.714                   -0.0029839295
                    6.76                   -0.0030294702
                   6.806                   -0.0030756225
                   6.852                   -0.0031223908
                   6.875                   -0.0031460076
                   6.898                   -0.0031697805
                   6.944                   -0.0032177973
                    6.99                   -0.0032664472
                   7.036                   -0.0033157364
                   7.082                    -0.003365671
                   7.128                   -0.0034162572
                   7.174                   -0.0034675012
                    7.22                   -0.0035194094
                   7.266                   -0.0035719881
                   7.312                   -0.0036252435
                   7.358                    -0.003679182
                   7.404                     -0.00373381
                    7.45                   -0.0037891339
                   7.496                   -0.0038451603
                   7.542                   -0.0039018955
                   7.588                    -0.003959346
                 7.59375                    -0.003966578
                   7.634                   -0.0040175186
                    7.68                   -0.0040764197
                   7.726                   -0.0041360559
                   7.772                    -0.004196434
                   7.818                   -0.0042575607
                   7.864                   -0.0043194426
                    7.91                   -0.0043820866
                   7.956                   -0.0044454996
                   8.002                   -0.0045096883
                   8.048                   -0.0045746597
                   8.094                   -0.0046404208
                    8.14                   -0.0047069785
                   8.186                   -0.0047743399
                   8.232                   -0.0048425121
                   8.278                   -0.0049115022
                  8.3125                   -0.0049637858
                   8.324                   -0.0049813173
                    8.37                   -0.0050519648
                   8.416                   -0.0051234518
                   8.462                   -0.0051957858
                   8.508                   -0.0052689741
                   8.554                   -0.0053430242
