        Frequency / GHz                SZmax(1),Zmax(1) (wm=4)/abs,dB
----------------------------------------------------------------------
               3.9972328                   -0.0025416931
                4.043201                   -0.0024669186
               4.0891691                   -0.0024019702
               4.1351373                   -0.0023465696
               4.1811055                   -0.0023004463
               4.2270737                   -0.0022633374
               4.2730418                    -0.002234988
                 4.31901                   -0.0022151502
               4.3649782                    -0.002203584
               4.4109464                   -0.0022000563
               4.4569145                   -0.0022043413
               4.5028827                   -0.0022162203
               4.5488509                   -0.0022354814
               4.5948191                   -0.0022619196
               4.6407872                   -0.0022953365
               4.6867554                   -0.0023355404
               4.7327236                    -0.002382346
               4.7786918                   -0.0024355743
                 4.82466                   -0.0024950526
               4.8706281                   -0.0025606144
               4.9165963                   -0.0026320991
               4.9625645                   -0.0027093522
               5.0085327                   -0.0027922246
               5.0545008                   -0.0028805735
                5.100469                   -0.0029742611
               5.1464372                   -0.0030731556
               5.1924054                   -0.0031771301
               5.2383735                   -0.0032860635
               5.2843417                   -0.0033998395
               5.3303099                    -0.003518347
               5.3762781                   -0.0036414799
               5.4222463                   -0.0037691371
               5.4682144                    -0.003901222
               5.5141826                    -0.004037643
               5.5601508                    -0.004178313
                5.606119                   -0.0043231494
               5.6520871                    -0.004472074
               5.6980553                   -0.0046250129
               5.7440235                   -0.0047818965
               5.7899917                   -0.0049426595
               5.8359598                   -0.0051072405
                5.881928                   -0.0052755821
               5.9278962                   -0.0054476307
               5.9738644                   -0.0056233368
               6.0198326                   -0.0058026545
               6.0658007                   -0.0059855415
               6.1117689                   -0.0061719592
               6.1577371                   -0.0063618724
               6.2037053                   -0.0065552495
               6.2496734                    -0.006752062
               6.2956416                    -0.006952285
               6.3416098                   -0.0071558966
                6.387578                   -0.0073628782
               6.4335461                    -0.007573214
               6.4795143                   -0.0077868917
               6.5254825                   -0.0080039014
               6.5714507                   -0.0082242366
               6.6174189                   -0.0084478933
                6.663387                   -0.0086748702
               6.7093552                   -0.0089051691
               6.7553234                    -0.009138794
               6.8012916                   -0.0093757518
               6.8472597                   -0.0096160517
               6.8932279                   -0.0098597057
               6.9391961                    -0.010106728
               6.9851643                    -0.010357135
               7.0311324                    -0.010610945
               7.0771006                    -0.010868181
               7.1230688                    -0.011128864
                7.169037                    -0.011393022
               7.2150052                    -0.011660681
               7.2609733                    -0.011931871
               7.3069415                    -0.012206625
               7.3529097                    -0.012484976
               7.3988779                    -0.012766959
                7.444846                    -0.013052613
               7.4908142                    -0.013341978
               7.5367824                    -0.013635094
               7.5827506                    -0.013932004
               7.6287187                    -0.014232755
               7.6746869                    -0.014537393
               7.7206551                    -0.014845966
               7.7666233                    -0.015158524
               7.8125915                    -0.015475119
               7.8585596                    -0.015795806
               7.9045278                    -0.016120638
                7.950496                    -0.016449672
               7.9964642                    -0.016782967
               8.0424323                    -0.017120582
               8.0884005                    -0.017462578
               8.1343687                    -0.017809018
               8.1803369                    -0.018159966
                8.226305                    -0.018515488
               8.2722732                     -0.01887565
               8.3182414                    -0.019240521
               8.3642096                    -0.019610171
               8.4101778                     -0.01998467
               8.4561459                     -0.02036409
               8.5021141                    -0.020748507
               8.5480823                    -0.021137994
               8.5940505                    -0.021532628
               8.6400186                    -0.021932487
               8.6859868                     -0.02233765
                8.731955                    -0.022748197
               8.7779232                    -0.023164208
               8.8238913                    -0.023585769
               8.8698595                    -0.024012961
               8.9158277                     -0.02444587
               8.9617959                    -0.024884584
               9.0077641                     -0.02532919
               9.0537322                    -0.025779776
               9.0997004                    -0.026236433
               9.1456686                    -0.026699253
               9.1916368                    -0.027168328
               9.2376049                    -0.027643753
               9.2835731                    -0.028125622
               9.3295413                    -0.028614032
               9.3755095                    -0.029109081
               9.4214776                    -0.029610868
               9.4674458                    -0.030119494
                9.513414                    -0.030635059
               9.5593822                    -0.031157667
               9.6053504                    -0.031687422
               9.6513185                     -0.03222443
               9.6972867                    -0.032768797
               9.7432549                    -0.033320631
               9.7892231                    -0.033880042
               9.8351912                    -0.034447141
               9.8811594                     -0.03502204
               9.9271276                    -0.035604853
               9.9730958                    -0.036195694
               10.019064                    -0.036794681
               10.065032                     -0.03740193
                  10.111                    -0.038017562
               10.156968                    -0.038641698
               10.202937                    -0.039274459
               10.248905                     -0.03991597
               10.294873                    -0.040566356
               10.340841                    -0.041225745
               10.386809                    -0.041894264
               10.432778                    -0.042572044
               10.478746                    -0.043259218
               10.524714                    -0.043955919
               10.570682                    -0.044662281
                10.61665                    -0.045378444
               10.662618                    -0.046104545
               10.708587                    -0.046840725
               10.754555                    -0.047587127
               10.800523                    -0.048343896
               10.846491                    -0.049111178
               10.892459                    -0.049889121
               10.938427                    -0.050677877
               10.984396                    -0.051477597
               11.030364                    -0.052288437
               11.076332                    -0.053110554
                 11.1223                    -0.053944106
               11.168268                    -0.054789255
               11.214237                    -0.055646164
               11.260205                       -0.056515
               11.306173                    -0.057395932
               11.352141                    -0.058289129
               11.398109                    -0.059194766
               11.444077                    -0.060113019
               11.490046                    -0.061044066
               11.536014                     -0.06198809
               11.581982                    -0.062945274
                11.62795                    -0.063915805
               11.673918                    -0.064899875
               11.719886                    -0.065897675
               11.765855                    -0.066909403
               11.811823                    -0.067935258
               11.857791                    -0.068975442
               11.903759                    -0.070030163
               11.949727                    -0.071099629
               11.995696                    -0.072184053
               12.041664                    -0.073283654
               12.087632                    -0.074398651
                 12.1336                    -0.075529269
               12.179568                    -0.076675737
