        Frequency / GHz                SZmax(1),Zmax(1)/abs,dB
----------------------------------------------------------------------
                    12.8                       -7.308834
                 12.8157                      -7.4423894
                 12.8314                      -7.5781682
                 12.8471                      -7.7162059
                 12.8628                      -7.8565393
                 12.8785                      -7.9992064
                 12.8942                      -8.1442463
                 12.9099                      -8.2916996
                 12.9256                      -8.4416081
                 12.9413                      -8.5940154
                  12.957                      -8.7489664
                 12.9727                      -8.9065078
                 12.9884                      -9.0666881
                 13.0041                      -9.2295578
                 13.0198                      -9.3951692
                 13.0355                       -9.563577
                 13.0512                      -9.7348379
                 13.0669                      -9.9090114
                 13.0826                      -10.086159
                 13.0983                      -10.266346
                  13.114                      -10.449638
                 13.1297                      -10.636107
                 13.1454                      -10.825827
                 13.1611                      -11.018873
                 13.1768                      -11.215327
                 13.1925                      -11.415274
                 13.2082                      -11.618801
                 13.2239                         -11.826
                 13.2396                       -12.03697
                 13.2553                      -12.251811
                  13.271                      -12.470631
                 13.2867                       -12.69354
                 13.3024                      -12.920655
                 13.3181                        -13.1521
                 13.3338                      -13.388002
                 13.3495                      -13.628496
                 13.3652                      -13.873722
                 13.3809                      -14.123827
                 13.3966                      -14.378964
                 13.4123                      -14.639293
                  13.428                      -14.904979
                 13.4437                      -15.176195
                 13.4594                      -15.453119
                 13.4751                      -15.735935
                 13.4908                      -16.024829
                 13.5065                      -16.319995
                 13.5222                      -16.621624
                 13.5379                       -16.92991
                 13.5536                      -17.245044
                 13.5693                      -17.567209
                  13.585                      -17.896577
                 13.6007                      -18.233304
                 13.6164                      -18.577519
                 13.6321                      -18.929316
                 13.6478                      -19.288739
                 13.6635                      -19.655768
                 13.6792                      -20.030294
                 13.6949                      -20.412098
                 13.7106                       -20.80081
                 13.7263                      -21.195876
                  13.742                      -21.596501
                 13.7577                       -22.00159
                 13.7734                      -22.409679
                 13.7891                       -22.81885
                 13.8048                      -23.226642
                 13.8205                      -23.629961
                 13.8362                      -24.024998
                 13.8519                      -24.407171
                 13.8676                       -24.77112
                 13.8833                      -25.110781
                  13.899                      -25.419571
                 13.9147                      -25.690703
                 13.9304                      -25.917646
                 13.9461                      -26.094675
                 13.9618                      -26.217456
                 13.9775                      -26.283542
                 13.9932                      -26.292677
                 14.0089                      -26.246826
                 14.0246                      -26.149928
                 14.0403                      -26.007437
                  14.056                      -25.825747
                 14.0717                       -25.61162
                 14.0874                      -25.371709
                 14.1031                      -25.112206
                 14.1188                      -24.838629
                 14.1345                      -24.555727
                 14.1502                      -24.267468
                 14.1659                      -23.977092
                 14.1816                      -23.687184
                 14.1973                      -23.399766
                  14.213                      -23.116389
                 14.2287                      -22.838213
                 14.2444                      -22.566086
                 14.2601                      -22.300602
                 14.2758                      -22.042159
                 14.2915                      -21.790999
                 14.3072                      -21.547242
                 14.3229                       -21.31092
                 14.3386                       -21.08199
                 14.3543                       -20.86036
                   14.37                      -20.645899
                 14.3857                      -20.438448
                 14.4014                      -20.237829
                 14.4171                      -20.043852
                 14.4328                      -19.856319
                 14.4485                      -19.675029
                 14.4642                       -19.49978
                 14.4799                      -19.330371
                 14.4956                      -19.166605
                 14.5113                       -19.00829
                  14.527                      -18.855238
                 14.5427                      -18.707268
                 14.5584                      -18.564204
                 14.5741                      -18.425877
                 14.5898                      -18.292125
                 14.6055                      -18.162792
                 14.6212                      -18.037729
                 14.6369                      -17.916793
                 14.6526                      -17.799847
                 14.6683                       -17.68676
                  14.684                      -17.577407
                 14.6997                      -17.471668
                 14.7154                       -17.36943
                 14.7311                      -17.270584
                 14.7468                      -17.175024
                 14.7625                      -17.082652
                 14.7782                      -16.993373
                 14.7939                      -16.907095
                 14.8096                      -16.823732
                 14.8253                      -16.743202
                  14.841                      -16.665425
                 14.8567                      -16.590324
                 14.8724                      -16.517829
                 14.8881                      -16.447869
                 14.9038                      -16.380379
                 14.9195                      -16.315294
                 14.9352                      -16.252555
                 14.9509                      -16.192103
                 14.9666                      -16.133883
                 14.9823                      -16.077841
                  14.998                      -16.023928
                 15.0137                      -15.972093
                 15.0294                       -15.92229
                 15.0451                      -15.874475
                 15.0608                      -15.828604
                 15.0765                      -15.784636
                 15.0922                      -15.742533
                 15.1079                      -15.702255
                 15.1236                      -15.663768
                 15.1393                      -15.627036
                  15.155                      -15.592025
                 15.1707                      -15.558705
                 15.1864                      -15.527044
                 15.2021                      -15.497013
                 15.2178                      -15.468584
                 15.2335                       -15.44173
                 15.2492                      -15.416425
                 15.2649                      -15.392645
                 15.2806                      -15.370365
                 15.2963                      -15.349563
                  15.312                      -15.330217
                 15.3277                      -15.312306
                 15.3434                       -15.29581
                 15.3591                      -15.280711
                 15.3748                      -15.266989
                 15.3905                      -15.254628
                 15.4062                       -15.24361
                 15.4219                       -15.23392
                 15.4376                      -15.225543
                 15.4533                      -15.218464
                  15.469                       -15.21267
                 15.4847                      -15.208146
                 15.5004                      -15.204881
                 15.5161                      -15.202863
                 15.5318                       -15.20208
                 15.5475                      -15.202523
                 15.5632                       -15.20418
                 15.5789                      -15.207043
                 15.5946                      -15.211102
                 15.6103                      -15.216349
                  15.626                      -15.222776
                 15.6417                      -15.230376
                 15.6574                      -15.239142
                 15.6731                      -15.249068
                 15.6888                      -15.260147
                 15.7045                      -15.272375
                 15.7202                      -15.285746
                 15.7359                      -15.300257
                 15.7516                      -15.315903
                 15.7673                       -15.33268
                  15.783                      -15.350587
                 15.7987                      -15.369619
                 15.8144                      -15.389775
                 15.8301                      -15.411054
                 15.8458                      -15.433453
                 15.8615                      -15.456973
                 15.8772                      -15.481612
                 15.8929                      -15.507371
                 15.9086                       -15.53425
                 15.9243                       -15.56225
                   15.94                      -15.591372
                 15.9557                      -15.621619
                 15.9714                      -15.652991
                 15.9871                      -15.685493
                 16.0028                      -15.719126
                 16.0185                      -15.753894
                 16.0342                      -15.789802
                 16.0499                      -15.826853
                 16.0656                      -15.865052
                 16.0813                      -15.904405
                  16.097                      -15.944917
                 16.1127                      -15.986595
                 16.1284                      -16.029444
                 16.1441                      -16.073473
                 16.1598                      -16.118688
                 16.1755                      -16.165097
                 16.1912                       -16.21271
                 16.2069                      -16.261535
                 16.2226                      -16.311582
                 16.2383                      -16.362861
                  16.254                      -16.415382
