        Frequency / GHz                SZmax(1),Zmax(1) (ro=2)/abs,dB
----------------------------------------------------------------------
                       1                  -0.00044374434
                   1.049                   -0.0004581017
                   1.098                  -0.00047273062
                   1.147                  -0.00048765785
                   1.196                  -0.00050291005
                   1.245                  -0.00051851378
                   1.294                  -0.00053449554
                   1.343                  -0.00055088176
                   1.392                  -0.00056769881
                   1.441                  -0.00058497301
                    1.49                  -0.00060273063
                   1.539                  -0.00062099794
                   1.588                  -0.00063980116
                   1.637                  -0.00065916654
                   1.686                  -0.00067912029
                   1.735                  -0.00069968866
                   1.784                   -0.0007208979
                   1.833                  -0.00074277429
                   1.882                  -0.00076534417
                   1.931                   -0.0007886339
                    1.98                  -0.00081266991
                   2.029                  -0.00083747869
                   2.078                   -0.0008630868
                   2.127                  -0.00088952091
                   2.176                  -0.00091680776
                   2.225                  -0.00094497418
                   2.274                  -0.00097404714
                   2.323                   -0.0010040537
                   2.372                   -0.0010350211
                   2.421                   -0.0010669767
                    2.47                   -0.0010999479
                   2.519                   -0.0011339624
                   2.568                   -0.0011690481
                   2.617                   -0.0012052329
                   2.666                    -0.001242545
                   2.715                   -0.0012810127
                   2.764                   -0.0013206647
                   2.813                   -0.0013615297
                   2.862                   -0.0014036367
                   2.911                    -0.001447015
                    2.96                    -0.001491694
                   3.009                   -0.0015377036
                   3.058                   -0.0015850736
                   3.107                   -0.0016338344
                   3.156                   -0.0016840164
                   3.205                   -0.0017356506
                   3.254                   -0.0017887681
                   3.303                   -0.0018434004
                   3.352                   -0.0018995791
                   3.401                   -0.0019573364
                    3.45                   -0.0020167049
                   3.499                   -0.0020777172
                   3.548                   -0.0021404065
                   3.597                   -0.0022048065
                   3.646                    -0.002270951
                   3.695                   -0.0023388744
                   3.744                   -0.0024086115
                   3.793                   -0.0024801974
                   3.842                   -0.0025536678
                   3.891                   -0.0026290587
                    3.94                   -0.0027064066
                   3.989                   -0.0027857486
                   4.038                   -0.0028671222
                   4.087                   -0.0029505653
                   4.136                   -0.0030361165
                   4.185                   -0.0031238148
                   4.234                   -0.0032136999
                   4.283                   -0.0033058117
                   4.332                   -0.0034001912
                   4.381                   -0.0034968795
                    4.43                   -0.0035959186
                   4.479                   -0.0036973511
                   4.528                     -0.00380122
                   4.577                   -0.0039075693
                   4.626                   -0.0040164435
                   4.675                   -0.0041278877
                   4.724                   -0.0042419479
                   4.773                   -0.0043586706
                   4.822                   -0.0044781032
                   4.871                   -0.0046002939
                    4.92                   -0.0047252916
                   4.969                    -0.004853146
                   5.018                   -0.0049839077
                   5.067                   -0.0051176281
                   5.116                   -0.0052543593
                   5.165                   -0.0053941547
                   5.214                   -0.0055370682
                   5.263                    -0.005683155
                   5.312                   -0.0058324709
                   5.361                   -0.0059850729
                    5.41                   -0.0061410191
                   5.459                   -0.0063003685
                   5.508                   -0.0064631812
                   5.557                   -0.0066295185
                   5.606                   -0.0067994425
                   5.655                    -0.006973017
                   5.704                   -0.0071503065
                   5.753                    -0.007331377
                   5.802                   -0.0075162957
                   5.851                   -0.0077051311
                     5.9                   -0.0078979529
                   5.949                   -0.0080948325
                   5.998                   -0.0082958422
                   6.047                   -0.0085010563
                   6.096                   -0.0087105501
                   6.145                   -0.0089244007
                   6.194                   -0.0091426869
                   6.243                   -0.0093654887
                   6.292                    -0.009592888
                   6.341                   -0.0098249686
                    6.39                    -0.010061816
                   6.439                    -0.010303517
