        Frequency / GHz                SZmax(1),Zmax(1)/abs,dB
----------------------------------------------------------------------
                       1                  -0.00074117719
                   1.049                   -0.0006506475
                   1.098                  -0.00057359294
                   1.147                  -0.00050972156
                   1.196                  -0.00045876115
                   1.245                   -0.0004204597
                   1.294                  -0.00039458589
                   1.343                  -0.00038092967
                   1.392                  -0.00037930293
                   1.441                  -0.00038954017
                    1.49                   -0.0004114993
                   1.539                  -0.00044506248
                   1.588                   -0.0004901371
                   1.637                  -0.00054665681
                   1.686                  -0.00061458272
                   1.735                  -0.00069390464
                   1.784                  -0.00078464249
                   1.833                  -0.00088684794
                   1.882                    -0.001000606
                   1.931                   -0.0011260372
                    1.98                   -0.0012632993
                   2.029                   -0.0014125899
                   2.078                    -0.001574149
                   2.127                   -0.0017482618
                   2.176                   -0.0019352619
                   2.225                   -0.0021355345
                   2.274                   -0.0023495209
                   2.323                   -0.0025777223
                   2.372                   -0.0028207047
                   2.421                   -0.0030791042
                    2.47                   -0.0033536332
                   2.519                   -0.0036450865
                   2.568                   -0.0039543491
                   2.617                   -0.0042824042
                   2.666                   -0.0046303426
                   2.715                   -0.0049993726
                   2.764                   -0.0053908319
                   2.813                   -0.0058062004
                   2.862                   -0.0062471151
                   2.911                   -0.0067153859
                    2.96                   -0.0072130146
                   3.009                   -0.0077422158
                   3.058                   -0.0083054405
                   3.107                    -0.008905403
                   3.156                   -0.0095451114
                   3.205                    -0.010227902
                   3.254                    -0.010957481
                   3.303                    -0.011737966
                   3.352                    -0.012573942
                   3.401                    -0.013470518
                    3.45                    -0.014433399
                   3.499                     -0.01546896
                   3.548                    -0.016584343
                   3.597                    -0.017787561
                   3.646                    -0.019087622
                   3.695                    -0.020494672
                   3.744                    -0.022020165
                   3.793                    -0.023677061
                   3.842                    -0.025480058
                   3.891                    -0.027445868
                    3.94                    -0.029593541
                   3.989                    -0.031944857
                   4.038                    -0.034524784
                   4.087                    -0.037362039
                   4.136                    -0.040489749
                   4.185                    -0.043946268
                   4.234                    -0.047776151
                   4.283                    -0.052031358
                   4.332                    -0.056772719
                   4.381                    -0.062071751
                    4.43                    -0.068012905
                   4.479                     -0.07469637
                   4.528                    -0.082241594
                   4.577                    -0.090791737
                   4.626                     -0.10051933
                   4.675                     -0.11163352
                   4.724                     -0.12438948
                   4.773                     -0.13910058
                   4.822                     -0.15615445
                   4.871                     -0.17603429
                    4.92                     -0.19934734
                   4.969                     -0.22686348
                   5.018                     -0.25956809
                   5.067                      -0.2987352
                   5.116                     -0.34603016
                   5.165                     -0.40365551
                   5.214                     -0.47456128
                   5.263                     -0.56275256
                   5.312                     -0.67374609
                   5.361                     -0.81525884
                    5.41                     -0.99826265
                   5.459                      -1.2386248
                   5.508                      -1.5596994
                   5.557                      -1.9964878
                   5.606                      -2.6024517
                   5.655                      -3.4610611
                   5.704                      -4.7068538
                   5.753                       -6.570311
                   5.802                      -9.5040837
                   5.851                       -14.73001
                     5.9                      -30.882249
                   5.949                      -17.744926
                   5.998                      -11.467297
                   6.047                      -8.3039169
                   6.096                      -6.3612646
                   6.145                      -5.0647308
                   6.194                      -4.1560877
                   6.243                      -3.4970656
                   6.292                      -3.0063037
                   6.341                      -2.6330434
                    6.39                      -2.3442887
                   6.439                      -2.1179005
                   6.488                      -1.9386367
                   6.537                      -1.7957759
                   6.586                      -1.6816427
                   6.635                      -1.5906643
                   6.684                      -1.5187549
                   6.733                       -1.462905
                   6.782                      -1.4209039
                   6.831                      -1.3911501
                    6.88                      -1.3725222
                   6.929                      -1.3642919
                   6.978                      -1.3660675
                   7.027                      -1.3777614
                   7.076                      -1.3995775
                   7.125                      -1.4320151
                   7.174                        -1.47589
                   7.223                      -1.5323731
                   7.272                      -1.6030489
                   7.321                      -1.6899958
                    7.37                      -1.7958929
                   7.419                       -1.924156
                   7.468                      -2.0791021
                   7.517                      -2.2661338
                   7.566                      -2.4919132
                   7.615                      -2.7644441
                   7.664                      -3.0928758
                   7.713                       -3.486618
                   7.762                      -3.9529241
                   7.811                      -4.4913686
                    7.86                      -5.0828663
                   7.909                      -5.6719408
                   7.958                      -6.1499424
                   8.007                       -6.369357
                   8.056                      -6.2229129
                   8.105                      -5.7348656
                   8.154                      -5.0443071
                   8.203                       -4.302748
                   8.252                      -3.6087014
                   8.301                      -3.0053457
                    8.35                      -2.5012623
                   8.399                      -2.0886316
                   8.448                      -1.7539243
                   8.497                      -1.4830604
                   8.546                      -1.2634866
                   8.595                      -1.0847585
                   8.644                     -0.93848233
                   8.693                     -0.81802851
                   8.742                      -0.7182018
                   8.791                      -0.6349398
                    8.84                     -0.56506193
                   8.889                     -0.50606967
                   8.938                     -0.45599126
                   8.987                     -0.41326233
                   9.036                     -0.37663473
                   9.085                     -0.34510691
                   9.134                     -0.31787068
                   9.183                     -0.29427041
                   9.232                      -0.2737716
                   9.281                     -0.25593662
                    9.33                     -0.24040581
                   9.379                     -0.22688285
                   9.428                     -0.21512319
                   9.477                     -0.20492509
                   9.526                      -0.1961225
                   9.575                     -0.18857959
                   9.624                     -0.18218641
                   9.673                     -0.17685565
                   9.722                     -0.17252019
                   9.771                     -0.16913146
                    9.82                     -0.16665842
                   9.869                     -0.16508718
                   9.918                     -0.16442138
                   9.967                     -0.16468312
                  10.016                     -0.16591492
                  10.065                     -0.16818248
                  10.114                     -0.17157886
                  10.163                     -0.17623021
                  10.212                      -0.1823038
                  10.261                     -0.19001894
                   10.31                     -0.19966228
                  10.359                     -0.21160903
                  10.408                     -0.22635282
                  10.457                     -0.24454836
                  10.506                     -0.26707306
                  10.555                      -0.2951174
                  10.604                     -0.33031969
                  10.653                      -0.3749702
                  10.702                     -0.43232488
                  10.751                     -0.50709342
                    10.8                     -0.60620208
                  10.849                     -0.73997146
                  10.898                     -0.92384384
                  10.947                      -1.1805174
                  10.996                      -1.5409704
                  11.045                      -2.0378517
                  11.094                       -2.671483
                  11.143                      -3.3193485
                  11.192                      -3.6648533
                  11.241                      -3.4576797
                   11.29                      -2.8755988
                  11.339                      -2.2496705
                  11.388                      -1.7374008
                  11.437                      -1.3566163
                  11.486                      -1.0808592
                  11.535                       -0.880628
                  11.584                     -0.73320304
                  11.633                     -0.62274011
                  11.682                     -0.53848468
                  11.731                     -0.47313736
                   11.78                     -0.42168909
                  11.829                     -0.38064935
                  11.878                     -0.34754509
                  11.927                     -0.32059544
                  11.976                      -0.2984985
                  12.025                     -0.28028981
                  12.074                     -0.26524721
                  12.123                     -0.25282606
                  12.172                     -0.24261479
                  12.221                     -0.23430451
                   12.27                      -0.2276686
                  12.319                     -0.22255002
                  12.368                     -0.21885501
                  12.417                     -0.21655315
                  12.466                     -0.21568468
                  12.515                     -0.21637778
                  12.564                     -0.21888073
                  12.613                     -0.22361838
                  12.662                     -0.23128932
                  12.711                     -0.24303101
                   12.76                     -0.26069065
                  12.809                     -0.28721384
                  12.858                     -0.32692779
                  12.907                      -0.3843857
                  12.956                     -0.45725212
                  13.005                     -0.51948418
                  13.054                     -0.52592422
                  13.103                     -0.47384799
                  13.152                     -0.40675093
                  13.201                     -0.35259123
                   13.25                     -0.31531957
                  13.299                      -0.2910772
                  13.348                     -0.27576067
                  13.397                     -0.26647014
                  13.446                     -0.26134373
                  13.495                     -0.25920997
                  13.544                     -0.25933004
                  13.593                     -0.26123553
                  13.642                     -0.26463052
                  13.691                      -0.2693329
                   13.74                     -0.27523885
                  13.789                     -0.28230149
                  13.838                     -0.29051811
                  13.887                      -0.2999231
                  13.936                     -0.31058474
                  13.985                     -0.32260484
                  14.034                     -0.33612105
                  14.083                     -0.35131147
                  14.132                     -0.36840213
                  14.181                     -0.38767772
                   14.23                     -0.40949671
                  14.279                     -0.43431239
                  14.328                     -0.46270222
                  14.377                     -0.49540903
                  14.426                     -0.53339948
                  14.475                     -0.57794821
                  14.524                     -0.63076011
                  14.573                     -0.69415041
                  14.622                     -0.77131194
                  14.671                     -0.86671291
                   14.72                     -0.98668266
                  14.769                      -1.1402425
                  14.818                      -1.3401649
                  14.867                      -1.6039165
                  14.916                      -1.9530546
                  14.965                      -2.4067932
                  15.014                      -2.9605884
                  15.063                      -3.5432917
                  15.112                      -3.9913813
                  15.161                      -4.1461891
                   15.21                      -4.0244952
                  15.259                      -3.7892285
                  15.308                      -3.5842947
                  15.357                      -3.4769771
                  15.406                      -3.4872054
                  15.455                      -3.6198697
                  15.504                      -3.8812284
                  15.553                      -4.2859308
                  15.602                      -4.8610339
                  15.651                       -5.650447
                    15.7                      -6.7221659
                  15.749                      -8.1814574
                  15.798                       -10.19534
                  15.847                      -13.025346
                  15.896                      -16.850253
                  15.945                      -19.165666
                  15.994                      -16.002477
                  16.043                      -12.428973
                  16.092                      -9.8518146
                  16.141                      -8.0034583
                   16.19                      -6.6427241
                  16.239                      -5.6181671
                  16.288                      -4.8331566
                  16.337                      -4.2234537
                  16.386                      -3.7448959
                  16.435                       -3.366371
                  16.484                      -3.0655722
                  16.533                      -2.8263092
                  16.582                      -2.6367458
                  16.631                      -2.4882173
                   16.68                       -2.374428
                  16.729                      -2.2909038
                  16.778                      -2.2346209
                  16.827                      -2.2037613
                  16.876                      -2.1975554
                  16.925                       -2.216183
                  16.974                      -2.2606967
                  17.023                      -2.3329146
                  17.072                      -2.4351865
                  17.121                      -2.5698544
                   17.17                      -2.7380954
                  17.219                      -2.9376807
                  17.268                      -3.1591922
                  17.317                      -3.3810074
                  17.366                      -3.5658606
